generator,target,label,label_name,rows,n_original_correct,n_attack_success,original_accuracy,attacked_accuracy,asr,asr_pct,wilson_ci_lower_pct,wilson_ci_upper_pct
claude_sonnet,claude_sonnet,0,Entailment,760,740,16,0.9736842105263158,0.9605263157894737,0.021621621621621623,2.1621621621621623,1.33519872496578,3.4832284271746934
claude_sonnet,claude_sonnet,1,Neutral,742,642,62,0.8652291105121294,0.8140161725067385,0.09657320872274143,9.657320872274143,7.606642906216243,12.187914577617715
claude_sonnet,claude_sonnet,2,Contradiction,707,687,16,0.9717114568599717,0.9533239038189534,0.023289665211062592,2.3289665211062593,1.4385617272050202,3.749525693297731
claude_sonnet,gemini,0,Entailment,760,738,15,0.9710526315789474,0.9631578947368421,0.02032520325203252,2.0325203252032518,1.2355385223452688,3.3262796961312127
claude_sonnet,gemini,1,Neutral,742,673,25,0.9070080862533693,0.8827493261455526,0.03714710252600297,3.7147102526002973,2.5286129662413956,5.426198034034161
claude_sonnet,gemini,2,Contradiction,707,691,11,0.9773691654879774,0.9660537482319661,0.015918958031837915,1.5918958031837915,0.8911730060939689,2.8278708840839473
claude_sonnet,gpt,0,Entailment,760,713,21,0.9381578947368421,0.9302631578947368,0.029453015427769985,2.9453015427769986,1.934351906333627,4.4605710235021885
claude_sonnet,gpt,1,Neutral,742,664,52,0.894878706199461,0.8382749326145552,0.0783132530120482,7.83132530120482,6.021887242945781,10.125876181494153
claude_sonnet,gpt,2,Contradiction,707,646,28,0.9137199434229137,0.9024045261669024,0.043343653250773995,4.3343653250774,3.0155946841017025,6.193029667027259
claude_sonnet,hyperclova_x,0,Entailment,760,704,36,0.9263157894736842,0.8960526315789473,0.05113636363636364,5.113636363636364,3.7163202502720996,6.998149476755546
claude_sonnet,hyperclova_x,1,Neutral,742,408,65,0.5498652291105122,0.5417789757412399,0.15931372549019607,15.931372549019606,12.700402899821018,19.797893702941714
claude_sonnet,hyperclova_x,2,Contradiction,707,668,37,0.9448373408769448,0.9066478076379066,0.05538922155688623,5.538922155688622,4.0449270447658625,7.541356861757538
gemini,claude_sonnet,0,Entailment,760,740,24,0.9736842105263158,0.9526315789473684,0.032432432432432434,3.2432432432432434,2.1889840149165543,4.780439133785717
gemini,claude_sonnet,1,Neutral,742,642,55,0.8652291105121294,0.8342318059299192,0.08566978193146417,8.566978193146417,6.640906014221826,10.985936807013049
gemini,claude_sonnet,2,Contradiction,707,687,20,0.9717114568599717,0.9504950495049505,0.02911208151382824,2.911208151382824,1.8923348421421047,4.453760670934661
gemini,gemini,0,Entailment,760,738,15,0.9710526315789474,0.9644736842105263,0.02032520325203252,2.0325203252032518,1.2355385223452688,3.3262796961312127
