feature,feature_present,n_original_correct,n_attack_success,asr_pct,asr_ci_lower_pct,asr_ci_upper_pct,odds_ratio_present_vs_absent,fisher_p,holm_p
particle_count_changed,1,22205,1444,6.503039855888313,6.1861798800291545,6.8349471525659675,1.3145181095457474,2.4592139662263153e-07,1.4755283797357892e-06
particle_count_changed,0,9691,487,5.025281188731813,4.607864388438519,5.47833932076212,1.3145181095457474,2.4592139662263153e-07,1.4755283797357892e-06
negation_modality_changed,1,3295,188,5.705614567526555,4.963996666470893,6.550392962804715,0.9323798481433204,0.3961219049376956,0.7922438098753912
negation_modality_changed,0,28601,1743,6.094192510751372,5.822800949747425,6.377376645519595,0.9323798481433204,0.3961219049376956,0.7922438098753912
number_changed,1,612,35,5.718954248366013,4.1405480883341585,7.849787697453444,0.9402079722703639,0.7974611763199084,0.7974611763199084
number_changed,0,31284,1896,6.0606060606060606,5.80155754062802,6.330444163025994,0.9402079722703639,0.7974611763199084,0.7974611763199084
sentence_ending_changed,1,10745,695,6.468124709167054,6.0184399467525225,6.94892462142503,1.1142447149366437,0.028810781567893413,0.11524312627157365
sentence_ending_changed,0,21151,1236,5.84369533355397,5.5355212135991945,6.167905936351726,1.1142447149366437,0.028810781567893413,0.11524312627157365
spacing_token_count_changed,1,23539,1511,6.419134202812354,6.113088039622292,6.739402447191971,1.2962730334552561,3.325647425330689e-06,1.6628237126653444e-05
spacing_token_count_changed,0,8357,420,5.0257269355031715,4.577633589543346,5.5151478963493314,1.2962730334552561,3.325647425330689e-06,1.6628237126653444e-05
word_order_shift,1,2328,165,7.087628865979381,6.114362376984915,8.202282417105469,1.2009163691425178,0.03375946596718326,0.11524312627157365
word_order_shift,0,29568,1766,5.97267316017316,5.708234526848234,6.248550321144459,1.2009163691425178,0.03375946596718326,0.11524312627157365
